parent_code,sub_code,sub_name
AA100,―  AA100954,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100953,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100950,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100934,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100933,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100930,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100914,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100913,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100911,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100910,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100904,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100903,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100900,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100652,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100650,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100632,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100630,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100622,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100621,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100620,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100612,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100611,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100610,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100602,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100600,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100152,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100150,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100132,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100130,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100122,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
AA100,―  AA100121,"초진진찰료-치과의원, 보건의료원 내 치과의치과 급여>기본진료료>진찰료"
